PM2.5,PM10,So2,No2,Co,O3,fcm
92,152,33,48,1.07,115,2
54,96,27,39,0.82,121,2
87,143,38,46,0.87,90,3
19,54,14,24,0.39,107,1
28,67,18,28,0.5,88,1
41,103,24,46,0.57,73,1
67,147,47,61,0.98,68,3
56,105,44,43,1.34,89,2
60,122,29,38,0.77,99,2
88,157,37,40,1.15,121,2
53,164,31,34,0.94,87,3
33,85,44,44,0.87,92,2
38,92,26,50,0.77,106,2
87,164,64,66,1.47,96,3
71,124,39,35,1.1,111,2
83,142,42,47,1.16,107,2
84,130,31,39,1,107,2
64,91,16,28,1.25,86,2
110,158,24,40,1.41,113,3
57,116,34,38,0.84,122,2
43,81,18,23,0.82,137,2
11,35,15,27,0.43,93,1
30,75,25,48,0.68,122,2
48,86,23,35,0.81,81,1
41,60,9,19,0.78,89,1
23,44,12,23,0.57,93,1
21,61,19,45,0.49,78,1
39,99,35,48,0.84,114,2
34,64,23,32,0.76,125,2
45,85,26,31,0.75,143,2
58,87,19,26,0.85,130,2
47,89,9,33,0.75,120,2
48,90,12,29,0.7,101,2
28,64,12,36,0.45,73,1
18,51,9,28,0.3,70,1
16,48,9,26,0.25,88,1
42,103,29,50,0.71,98,2
82,141,21,34,0.79,102,2
78,111,9,27,0.66,65,2
135,189,9,43,0.87,47,3
98,142,16,45,0.96,81,3
27,48,8,32,0.47,71,1
43,74,13,40,0.72,89,1
62,91,22,32,0.85,108,2
64,104,19,42,0.82,100,2
73,111,28,32,0.8,106,2
48,84,28,37,0.68,115,2
105,163,33,50,0.94,115,3
87,133,23,37,0.93,75,3
78,121,10,32,0.77,90,2
64,97,20,31,0.85,75,2
71,113,30,33,0.71,85,2
48,77,18,31,0.53,63,1
31,58,18,30,0.6,95,1
52,94,43,45,1.08,72,1
30,52,11,30,0.52,77,1
66,106,18,50,1.02,86,2
78,120,15,40,1.02,113,2
133,191,19,50,1.31,95,3
125,164,7,41,1.42,44,3
27,33,4,19,0.84,59,1
33,48,7,28,0.82,45,1
73,99,10,40,1.12,74,2
124,176,22,47,1.5,77,3
88,130,14,32,0.97,44,3
35,54,9,23,0.59,69,1
38,62,13,27,0.77,101,1
85,135,35,33,1.18,111,2
108,147,37,32,1.11,122,2
102,146,25,37,0.96,143,2
120,164,17,35,1.02,95,3
68,94,12,27,0.9,100,2
96,134,15,31,1.44,105,2
52,72,19,30,1.03,119,2
51,73,24,32,1.09,121,2
61,85,24,30,1.01,93,2
56,77,39,30,0.82,72,1
69,90,24,32,0.72,81,2
32,41,14,23,0.43,80,1
28,42,14,33,0.62,79,1
36,52,15,34,0.69,75,1
57,76,23,30,0.84,82,1
55,78,31,28,0.88,76,1
52,74,19,26,0.8,66,1
20,31,11,33,0.57,54,1
19,35,17,40,0.49,34,1
16,25,6,29,0.41,51,1
22,38,13,34,0.62,51,1
37,65,14,39,0.87,36,1
54,73,8,29,0.99,54,1
24,33,12,22,1.12,73,1
26,44,13,28,0.79,79,1
43,71,28,39,1.06,95,1
38,65,22,38,0.8,70,1
39,63,30,38,0.69,66,1
47,77,14,44,1.05,62,1
27,47,11,30,0.57,46,1
10,22,12,34,0.24,45,1
13,31,13,45,0.37,41,1
8,24,20,36,0.26,50,1
18,41,20,45,0.52,66,1
27,56,27,40,0.76,60,1
18,41,16,39,0.57,37,1
9,30,23,33,0.37,30,1
23,51,37,46,0.77,37,1
16,37,16,33,0.63,51,1
25,43,20,29,0.68,56,1
38,64,20,41,0.95,53,1
35,62,21,43,0.79,43,1
19,43,17,25,0.61,67,1
30,65,29,43,0.63,72,1
51,109,34,54,0.65,74,2
36,81,14,38,0.61,75,1
37,60,10,33,0.61,72,1
